arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12840,12646,0,13770,13890,167,768210,357142,234032,134632,218,3099,35487,32917,155225,8922,5466,759,5139,3019,1693,9395,500
13515,12463,0,12365,12226,131,283977,321913,218280,118456,207,9176,97008,94068,413699,13599,11689,1681,10049,3949,2031,12138,538
12762,12727,0,13010,13950,212,710330,460087,293499,168595,202,9794,36646,34065,158070,9739,6345,837,5149,3006,1714,12855,547
12314,12441,0,12424,12775,138,288492,386230,253815,142099,207,20051,114857,107912,456412,13445,9213,1313,7656,3014,1706,8774,498
14249,13279,0,12711,13025,158,285257,195470,128727,66309,197,3140,35601,33342,155471,10632,9848,1422,8740,3720,2718,17240,653
12499,12368,0,12383,12357,150,743954,491899,320828,190370,224,11595,80511,80541,155848,10587,7091,1024,6218,3003,1698,9837,470
12670,12681,0,12563,11588,93,280879,192543,127856,66240,215,10270,69782,65598,291732,16277,11646,1753,9635,3834,2342,14228,591
11843,12578,0,12490,12239,160,731063,474998,301525,121119,230,10047,71452,33477,156699,10647,7313,1083,6223,2988,1676,9258,471
12341,12268,0,12889,12651,115,290175,197980,130488,67238,213,12585,80131,74924,491890,16822,12124,1947,8079,3512,2066,11975,442
14311,14143,0,13714,12576,178,546509,350389,128541,66479,190,3081,36081,33400,156176,10141,7174,963,6437,3494,2033,13120,506
12304,12582,0,12511,12500,145,502636,331111,217472,180711,228,18617,116910,75934,347118,14942,10566,1082,5636,3025,1744,9324,447
12672,12732,0,12133,12652,132,288959,198299,130845,67618,190,3141,36449,33845,299002,13159,8987,1348,10205,3851,2322,14437,508
12392,12295,0,12625,13667,182,726012,467629,244045,164488,235,15250,63521,62138,284485,13349,7284,887,5640,3034,1746,8888,501
12332,12383,0,12333,12670,112,288747,197930,131060,67508,192,3095,35814,78944,339009,13876,9305,1848,9553,3904,2303,11140,740
13807,13382,0,13997,13303,182,853890,362901,227739,124966,205,3408,36638,33959,158681,10203,6469,883,5539,3047,1728,9573,891
12157,11878,0,12081,12331,127,286514,196172,214975,120324,203,10311,110700,111368,503079,18659,10913,1591,9129,3691,1713,9912,543
13943,14009,0,13742,13814,143,286495,195720,127343,65774,206,3054,35355,32622,152364,9688,6382,1316,7485,3371,1977,14285,531
12093,11660,0,12535,12808,145,526605,483055,299651,171360,215,9543,99981,96951,427392,13805,9989,1554,8598,3571,1686,9802,483
13212,12596,0,12313,12574,119,284333,194883,128694,66158,207,3045,35878,33430,153967,9970,9446,1538,7619,3451,2191,13734,578
