mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
4783351,2865577,8005738,115561,9855,3348,7,0,225321,22,0,37,7,0,0,0,0,0,0,65933,4600448,125363,129169,318,0,0,0,16134,7885933,0
5884752,3104106,7952490,93347,10067,3402,0,0,222204,225,0,225,30,0,0,0,0,0,0,70708,4633994,129862,131803,163,0,0,0,15110,9834303,0
4747153,2580485,7168293,70826,10006,3393,0,0,219200,330,0,300,15,0,0,0,0,0,0,67655,5455540,133358,134227,422,67,0,0,16293,7825440,0
4770787,2584698,7167824,70939,9991,3386,0,0,211424,300,0,294,0,0,0,0,0,0,0,68794,4621741,129882,133002,393,0,0,0,17223,7862135,0
4753313,2581884,7162239,70748,9978,3375,0,0,219995,232,0,90,52,0,0,0,0,0,0,69467,4613704,126599,132624,373,105,0,0,16101,7814336,5
4740711,2576735,7148725,92759,9900,3352,52,0,234754,240,0,127,60,0,0,0,0,0,0,65891,4606389,125441,131109,305,67,0,0,17096,7860898,0
5863207,3105068,8767158,115100,10073,3407,0,0,214823,202,0,225,37,0,0,0,0,0,0,63890,4581503,126217,127801,261,60,0,0,16311,8761197,10
5869573,2829883,7907021,92224,10046,3395,0,0,224917,165,0,269,30,0,0,0,0,0,0,71158,5460167,132917,137680,335,74,0,0,16881,8827685,0
4752782,2582078,7164756,70831,9949,3361,0,0,220299,217,30,120,7,0,0,0,0,0,0,60975,5456978,130404,133145,141,22,0,0,19236,7813618,0
4739223,2584995,7163184,70980,10014,3378,0,0,216095,164,0,300,0,0,0,0,0,0,0,59925,4648780,121408,126969,432,0,0,0,19462,7835796,0
4711312,2582298,7166462,70970,10034,3363,14,0,230718,367,0,45,7,0,0,0,0,0,0,65664,4641883,118935,123710,446,0,0,0,19844,7784825,0
5842030,2874047,8777672,115173,9886,3357,0,0,212287,45,0,97,14,0,0,0,0,0,0,63853,4612177,161289,197066,8943,230,0,0,19675,9725095,104
5882799,2860134,8012121,71470,10179,3425,0,0,233248,241,0,172,15,0,0,0,0,0,0,68889,4576264,128442,131433,342,29,0,0,19767,9833639,0
4763962,2581748,7167949,70909,10035,3400,0,0,222368,165,0,276,0,0,0,0,0,0,0,76041,5477902,135656,139189,423,0,0,0,19939,7871210,0
4764264,2594328,7184958,71184,10045,3396,0,0,224598,232,0,74,82,0,0,0,0,0,0,69791,4629944,125626,127832,348,22,0,0,19366,7843520,0
4755090,2582099,7145795,70470,9978,3373,37,0,231684,22,7,240,142,0,0,0,0,0,0,67243,4630167,128856,131395,238,0,0,0,15940,7850703,0
4727002,2839758,7953436,115308,9820,3361,37,0,205428,247,37,292,52,0,0,0,0,0,0,67286,4641589,127815,130549,580,52,0,0,15538,7780555,35
5909478,3118658,7992689,93387,10033,3399,0,0,207214,149,0,263,7,0,0,0,0,0,0,64676,4610071,125276,129390,469,7,0,0,16651,9811561,0
